"1003|of|the|Department|of|Defense,|Emergency|Supplemental|Appropriations|to|Address|Hurricanes|in|the|Gulf|of|Mexico,|and|Pandemic|Influenza|Act,|2006", "Department of Defense, Emergency Supplemental Appropriations to Address Hurricanes in the Gulf of Mexico, and Pandemic Influenza Act, 2006/s:1003", "8"
"An|Act|to|authorize|the|conveyance,|for|school|purposes,|of|certain|land|in|Acadia|National|Park|to|the|town|of|Tremont,|Maine,|and|for|other|purposes", "An Act to authorize the conveyance, for school purposes, of certain land in Acadia National Park to the town of Tremont, Maine, and for other purposes", "4"
"An|Act|to|insure|that|certain|buildings|financed|with|Federal|funds|are|so|designed|and|constructed|as|to|be|accessible|to|the|physically|handicapped", "Architectural Barriers Act of 1968", "3"
"(e)|of|section|604|of|the|Act|entitled|An|Act|to|authorize|appropriations|for|certain|insular|areas|of|the|United|States,|and|for|other|purposes|,", "To authorize appropriations for certain insular areas of the United States, and for other purposes/s:604/ss:e", "1"
"section|1602(e)|of|the|Resources|and|Ecosystems|Sustainability,|Tourist|Opportunities,|and|Revived|Economies|of|the|Gulf|Coast|States|Act|of|2012", "Resources and Ecosystems Sustainability, Tourist Opportunities, and Revived Economies of the Gulf Coast States Act of 2012/s:1602/ss:e", "2"
"Section|10101(i)|of|title|1|of|chapter|1|of|Division|B|of|the|Consolidated|Security,|Disaster|Assistance,|and|Continuing|Appropriations|Act,|2009", "Consolidated Security, Disaster Assistance, and Continuing Appropriations Act, 2009/d:B/ch:1/t:1/s:10101/ss:i", "1"
"An|Act|to|provide|retirement,|clerical|assistants,|and|free|mailing|privileges|to|former|Presidents|of|the|United|States,|and|for|other|purposes", "Former Presidents Act of 1958/s:1", "1"
"An|Act|to|amend|the|Immigration|and|Nationality|Act|to|permit|nonimmigrant|alien|crewmen|on|fishing|vessels|to|stop|temporarily|at|ports|in|Guam", "An Act to amend the Immigration and Nationality Act to permit nonimmigrant alien crewmen on fishing vessels to stop temporarily at ports in Guam", "2"
"Section|611(a)|of|the|Uniting|and|Strengthening|America|by|Providing|Appropriate|Tools|Required|to|Intercept|and|Obstruct|Terrorism|Act|of|2001", "Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism Act of 2001/s:611/ss:a", "1"
"section|314(a)|of|the|Uniting|and|Strengthening|America|by|Providing|Appropriate|Tools|Required|to|Intercept|and|Obstruct|Terrorism|Act|of|2001", "Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism Act of 2001/s:314/ss:a", "1"
"section|204(b)(11)|of|the|Departments|of|Veterans|Affairs|and|Housing|and|Urban|Development,|and|Independent|Agencies|Appropriations|Act,|1997", "Departments of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1997/s:204/ss:b/p:11", "1"
"section|102|of|title|I|of|the|Strengthening|and|Enhancing|Cybersecurity|by|Using|Research,|Education,|Information,|and|Technology|Act|of|2013", "Strengthening and Enhancing Cybersecurity by Using Research, Education, Information, and Technology Act of 2013/t:I/s:102", "1"
"Section|514(f)(3)|of|the|Department|of|Veterans|Affairs|and|Housing|and|Urban|Development,|and|Independent|Agencies|Appropriations|Act,|1998", "Department of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1998/s:514/ss:f/p:3", "1"
"section|514(f)(3)|of|the|Department|of|Veterans|Affairs|and|Housing|and|Urban|Development,|and|Independent|Agencies|Appropriations|Act,|1998", "Department of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1998/s:514/ss:f/p:3", "2"
"An|Act|making|appropriations|for|the|Department|of|Homeland|Security|for|the|fiscal|year|ending|September|30,|2014,|and|for|other|purposes", "An Act making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2014, and for other purposes", "1"
"subsections|(a)|through|(e)|of|section|7076|of|the|Department|of|State,|Foreign|Operations,|and|Related|Programs|Appropriations|Act,|2009", "Department of State, Foreign Operations, and Related Programs Appropriations Act, 2009/s:7076/ss:a..e", "1"
"section|604|of|the|Act|entitled|An|Act|to|authorize|appropriations|for|certain|insular|areas|of|the|United|States,|and|for|other|purposes", "Act to authorize appropriations for certain insular areas of the United States, and for other purposes/s:604", "1"
"Section|601|of|the|Act|entitled|An|Act|to|authorize|appropriations|for|certain|insular|areas|of|the|United|States,|and|for|other|purposes", "An Act to authorize appropriations for certain insular areas of the United States, and for other purposes/s:601", "1"
"Section|1|of|the|Act|of|July|31,|1947,|entitled|An|Act|to|provide|for|the|disposal|of|materials|on|the|public|lands|of|the|United|States", "An Act to provide for the disposal of materials on the public lands of the United States/s:1", "1"
"section|204|of|the|Departments|of|Veterans|Affairs|and|Housing|and|Urban|Development,|and|Independent|Agencies|Appropriations|Act,|1996", "Departments of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1996/s:204", "3"
"Section|204|of|the|Departments|of|Veterans|Affairs|and|Housing|and|Urban|Development,|and|Independent|Agencies|Appropriations|Act,|1996", "Departments of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1996/s:204", "1"
"division|C|of|the|Department|of|Defense,|Military|Construction|and|Veterans|Affairs,|and|Full-Year|Continuing|Appropriations|Act,|2013", "Department of Defense, Military Construction and Veterans Affairs, and Full-Year Continuing Appropriations Act, 2013/d:C", "1"
"section|749(g)|of|the|Agriculture,|Rural|Development,|and|Food|and|Drug|Administration,|and|Related|Agencies|Appropriations|Act,|2010", "Agriculture, Rural Development, and Food and Drug Administration, and Related Agencies Appropriations Act, 2010/s:749/ss:g", "2"
"Section|8103(b)(1)(B)|of|the|U.S.|Troop|Readiness,|Veterans’|Care,|Katrina|Recovery,|and|Iraq|Accountability|Appropriations|Act,|2007", "U.S. Troop Readiness, Veterans’ Care, Katrina Recovery, and Iraq Accountability Appropriations Act, 2007/s:8103/ss:b/p:1/sp:B", "1"
"An|Act|to|amend|title|40,|United|States|Code,|to|eliminate|duplication|and|waste|in|information|technology|acquisition|and|management", "Federal Information Technology Acquisition Reform Act", "1"
"title|III|of|the|Departments|of|Veterans|Affairs|and|Housing|and|Urban|Development,|and|Independent|Agencies|Appropriations|Act,|1999", "Departments of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1999/t:III", "3"
"section|107A(d)|(relating|to|general|provisions|applicable|to|the|Development|Credit|Authority)|of|the|Foreign|Assistance|Act|of|1961", "Foreign Assistance Act of 1961/s:107A/ss:d", "1"
"An|Act|to|provide|for|the|establishment|of|the|Apostle|Islands|National|Lakeshore|in|the|State|of|Wisconsin,|and|for|other|purposes", "Apostle Islands National Lakeshore in the State of Wisconsin, and for other purposes", "1"
"America|Creating|Opportunities|to|Meaningfully|Promote|Excellence|in|Technology,|Education,|and|Science|Reauthorization|Act|of|2014", "America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2014", "1"
"An|Act|authorizing|the|construction,|repair,|and|preservation|of|certain|public|works|on|rivers|and|harbors,|and|for|other|purposes", "River and Harbor Act of 1930", "1"
"Chris|Stevens,|Sean|Smith,|Tyrone|Woods,|and|Glen|Doherty|Embassy|Security,|Threat|Mitigation,|and|Personnel|Protection|Act|of|2013", "Chris Stevens, Sean Smith, Tyrone Woods, and Glen Doherty Embassy Security, Threat Mitigation, and Personnel Protection Act of 2013", "1"
"Section|504(a)(11)|of|the|Departments|of|Commerce,|Justice,|and|State,|the|Judiciary,|and|Related|Agencies|Appropriations|Act,|1996", "Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1996/s:504/ss:a/p:11", "3"
"section|1(b)(2)(B)|of|the|Act|entitled|An|Act|to|amend|and|extend|the|Irish|Peace|Process|Cultural|and|Training|Program|Act|of|1998", "An Act to amend and extend the Irish Peace Process Cultural and Training Program Act of 1998/s:1/ss:b/p:2/sp:B", "5"
"clauses|(i)|through|(v)|of|section|113(g)(3)(A)|of|the|National|Telecommunications|and|Information|Administration|Organization|Act", "National Telecommunications and Information Administration Organization Act/s:113/ss:g/p:3/sp:A/cl:i..v", "1"
"section|432|of|the|Compact|of|Free|Association|between|the|Government|of|the|United|States|of|America|and|the|Government|of|Palau", "Compact of Free Association between the Government of the United States of America and the Government of Palau/s:432", "1"
"An|Act|to|adjust|the|status|of|Cuban|refugees|to|that|of|lawful|permanent|residents|of|the|United|States,|and|for|other|purposes", "Cuban Refugee Adjustment Act", "1"
"Section|2|of|theExascale|Computing|for|Science,|Competitiveness,|Advanced|Manufacturing,|Leadership,|and|the|Economy|Act|of|2013", "Department of Energy High-End Computing Revitalization Act of 2004/s:2", "1"
"Section|4|of|theExascale|Computing|for|Science,|Competitiveness,|Advanced|Manufacturing,|Leadership,|and|the|Economy|Act|of|2013", "Department of Energy High-End Computing Revitalization Act of 2004/s:4", "1"
"subsection|(s)|(relating|to|Assessments,|Fees,|and|Other|Charges|for|Certain|Companies)|of|section|11|of|the|Federal|Reserve|Act", "Federal Reserve Act/s:11/ss:s", "1"
"Section|3|of|theExascale|Computing|for|Science,|Competitiveness,|Advanced|Manufacturing,|Leadership,|and|the|Economy|Act|of|2013", "Department of Energy High-End Computing Revitalization Act of 2004/s:3", "1"
"Section|610(b)|of|the|Departments|of|Commerce,|Justice,|and|State,|the|Judiciary,|and|Related|Agencies|Appropriations|Act,|1993", "Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1993/s:610/ss:b", "2"
"An|Act|to|provide|for|the|establishment|of|the|Ozark|National|Scenic|Riverways|in|the|State|of|Missouri,|and|for|other|purposes", "Ozark National Scenic Riverways Act", "1"
"Section|540|of|title|V|of|division|D|of|the|Consolidated|Security,|Disaster|Assistance,|and|Continuing|Appropriations|Act,|2009", "Consolidated Security, Disaster Assistance, and Continuing Appropriations Act, 2009/d:D/t:V/s:540", "1"
"section|610(b)|of|the|Departments|of|Commerce,|Justice,|and|State,|the|Judiciary,|and|Related|Agencies|Appropriations|Act,|1993", "Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1993/s:610/ss:b", "1"
"section|213|of|the|Department|of|Energy|National|Security|and|Military|Applications|of|Nuclear|Energy|Authorization|Act|of|1980", "Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1980/s:213", "2"
"An|Act|to|revise|the|boundary|of|Gettysburg|National|Military|Park|in|the|Commonwealth|of|Pennsylvania,|and|for|other|purposes", "An Act to revise the boundary of Gettysburg National Military Park in the Commonwealth of Pennsylvania, and for other purposes/s:1", "1"
"paragraphs|(5)|and|(6)|of|section|235(c)|of|the|William|Wilberforce|Trafficking|Victims|Protection|Reauthorization|Act|of|2008", "William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008/s:235/ss:c/p:5, 6", "1"
"section|766|of|the|Agriculture,|Rural|Development,|Food|and|Drug|Administration,|and|Related|Agencies|Appropriations|Act,|1999", "Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 1999/s:766", "1"
"paragraphs|(5)|and|(6)|of|Section|235(c)|of|the|William|Wilberforce|Trafficking|Victims|Protection|Reauthorization|Act|of|2008", "William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008/s:235/ss:c/p:5, 6", "1"
"section|633|of|the|Departments|of|Commerce,|Justice,|and|State,|the|Judiciary,|and|Related|Agencies|Appropriations|Act,|2004", "Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 2004/s:633", "3"
"Section|605|of|the|Departments|of|Commerce,|Justice,|and|State,|the|Judiciary,|and|Related|Agencies|Appropriations|Act,|1990", "Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1990/s:605", "1"
