nist_code,nist_name,wikipedia_link
1350,International Trade Administration ,http://en.wikipedia.org/wiki/International_Trade_Administration
1359,Technology Administration/Under Secretary of Technology ,http://en.wikipedia.org/wiki/Technology_Administration
1400,Department of the Interior,http://en.wikipedia.org/wiki/United_States_Department_of_the_Interior
1404,Office of the Inspector General of the Department of the Interior,
1415,Office of the Special Trustee for American Indians ,
1422,Bureau of Land Management ,http://en.wikipedia.org/wiki/Bureau_of_Land_Management
1425,Bureau of Reclamation ,http://en.wikipedia.org/wiki/United_States_Bureau_of_Reclamation
1434,Geological Survey ,http://en.wikipedia.org/wiki/United_States_Geological_Survey
1438,"Office of Surface Mining, Reclamation and Enforcement",http://en.wikipedia.org/wiki/Office_of_Surface_Mining
1448,U.S. Fish and Wildlife Service ,http://en.wikipedia.org/wiki/U.S._Fish_and_Wildlife_Service
1450,Indian Affairs (Assistant Secretary) ,http://en.wikipedia.org/wiki/Bureau_of_Indian_Affairs
1467,Utah Reclamation Mitigation and Conservation Commission ,
1469,National Indian Gaming Commission ,
1500,Department of Justice,http://en.wikipedia.org/wiki/United_States_Department_of_Justice
1501,"Offices, Boards and Divisions (includes the following: Attorney General, Deputy Attorney General, Associate Attorney General, Office of Policy Development, Office of Public Affairs, Office of Legislative Affairs, Office of Legal Counsel, Solicitor General, Criminal Division, Civil Division, Civil Rights Division, Antitrust Division, Tax Division, Environment and Natural Resources Division, Justice Management Division, Office of Professional Responsibility, Office of the Pardon Attorney, U.S. National Central Bureau-INTERPOL, U.S. Parole Commission, Office of Intelligence Policy and Review, Foreign Claims Settlement Commission, Office of Information and Privacy, and Community Oriented Policing Services) ",
1504,Office of the Inspector General of the Department of Justice,http://en.wikipedia.org/wiki/United_States_Department_of_Justice_Office_of_the_Inspector_General
1535,Community Relations Service ,http://en.wikipedia.org/wiki/Community_Relations_Service
1540,Bureau of Prisoners/Federal Prison System ,http://en.wikipedia.org/wiki/Federal_Bureau_of_Prisons
1549,Federal Bureau of Investigation ,http://en.wikipedia.org/wiki/Federal_Bureau_of_Investigation
1550,Office of Justice Programs ,http://en.wikipedia.org/wiki/Office_of_Justice_Programs
1560,"Bureau of Alcohol, Tobacco, Firearms and Explosives ","http://en.wikipedia.org/wiki/Bureau_of_Alcohol,_Tobacco,_Firearms_and_Explosives"
1600,Department of Labor,http://en.wikipedia.org/wiki/United_States_Department_of_Labor
1604,Office of Inspector General of the Department of Labor,
1625,Bureau of Labor Statistics ,http://en.wikipedia.org/wiki/Bureau_of_Labor_Statistics
1630,Employment and Training Administration ,http://en.wikipedia.org/wiki/Employment_and_Training_Administration
1665,Pension Benefit Guaranty Corporation ,http://en.wikipedia.org/wiki/Pension_Benefit_Guaranty_Corporation
1667,Office of Disability Employment Policy ,
1700,Department of the Navy,http://en.wikipedia.org/wiki/United_States_Department_of_the_Navy
1727,U.S. Marine Corps ,http://en.wikipedia.org/wiki/United_States_Marine_Corps
1800,U.S. Postal Service,http://en.wikipedia.org/wiki/United_States_Postal_Service
1810,U.S. Postal Inspection Service ,http://en.wikipedia.org/wiki/United_States_Postal_Inspection_Service
1865,Citizens' Stamp Advisory Committee ,http://en.wikipedia.org/wiki/Citizens%27_Stamp_Advisory_Committee
1900,Department of State,http://en.wikipedia.org/wiki/United_States_Department_of_State
1904,Office of the Inspector General of the Department of State,http://en.wikipedia.org/wiki/Office_of_the_Inspector_General_of_the_Department_of_State
1954,"Bureau of Population, Refugees and Migration ","http://en.wikipedia.org/wiki/Bureau_of_Population,_Refugees,_and_Migration"
1958,Office of U.S. Ambassador to the United Nations ,http://en.wikipedia.org/wiki/United_States_Ambassador_to_the_United_Nations
1991,American Institute in Taiwan ,http://en.wikipedia.org/wiki/American_Institute_in_Taiwan
2000,Department of the Treasury,http://en.wikipedia.org/wiki/United_States_Department_of_the_Treasury
2004,Inspector General of the Department of the Treasury,
2014,Office of the Inspector General for Tax Administration ,http://en.wikipedia.org/wiki/Treasury_Inspector_General_for_Tax_Administration
2046,Office of the Comptroller of the Currency ,http://en.wikipedia.org/wiki/Office_of_the_Comptroller_of_the_Currency
2050,Internal Revenue Service ,http://en.wikipedia.org/wiki/Internal_Revenue_Service
2093,District of Columbia ,http://en.wikipedia.org/wiki/District_of_Columbia
2100,Department of the Army (except Corps of Engineers Civil program financing) ,http://en.wikipedia.org/wiki/United_States_Department_of_the_Army
2130,National Guard Bureau ,http://en.wikipedia.org/wiki/National_Guard_Bureau
2400,Office of Personnel Management,http://en.wikipedia.org/wiki/Office_of_Personnel_Management
2500,National Credit Union Administration ,http://en.wikipedia.org/wiki/National_Credit_Union_Administration
2700,Federal Communications Commission ,http://en.wikipedia.org/wiki/Federal_Communications_Commission
2800,Social Security Administration,http://en.wikipedia.org/wiki/Social_Security_Administration
2804,Office of the Inspector General of the Social Security Administration,
2900,Federal Trade Commission ,http://en.wikipedia.org/wiki/Federal_Trade_Commission
3100,Nuclear Regulatory Commission ,http://en.wikipedia.org/wiki/Nuclear_Regulatory_Commission
3300,Smithsonian Institution ,http://en.wikipedia.org/wiki/Smithsonian_Institution
3400,U.S. International Trade Commission,http://en.wikipedia.org/wiki/U.S._International_Trade_Commission
3600,Department of Veterans Affairs,http://en.wikipedia.org/wiki/United_States_Department_of_Veterans_Affairs
3601,Office of the Secretary,http://en.wikipedia.org/wiki/United_States_Secretary_of_Veterans_Affairs
3620,Under Secretary for Health / Veterans Health Administration ,http://en.wikipedia.org/wiki/Veterans_Health_Administration
3630,Under Secretary for Memorial Affairs / National Cemetery System ,http://en.wikipedia.org/wiki/National_Cemetery_Administration
3640,Under Secretary for Benefits / Veterans Benefit Administration ,http://en.wikipedia.org/wiki/Veterans_Benefits_Administration
4609,Washington Metropolitan Area Transit Authority ,http://en.wikipedia.org/wiki/Washington_Metropolitan_Area_Transit_Authority
4700,General Services Administration,http://en.wikipedia.org/wiki/General_Services_Administration
4704,Office of Inspector General ,
4835,Medicare Payment Advisory Commission ,http://en.wikipedia.org/wiki/Medicare_Payment_Advisory_Commission
4849,Office of Navajo and Hopi Indian Relocation ,
4856,Nuclear Waste Technical Review Board ,
4864,U.S. Commission on International Religious Freedom ,http://en.wikipedia.org/wiki/United_States_Commission_on_International_Religious_Freedom
4900,National Science Foundation,http://en.wikipedia.org/wiki/National_Science_Foundation
4965,Arctic Research Commission ,http://en.wikipedia.org/wiki/United_States_Arctic_Research_Commission
5000,Securities and Exchange Commission ,http://en.wikipedia.org/wiki/U.S._Securities_and_Exchange_Commission
5100,Federal Deposit Insurance Corporation ,http://en.wikipedia.org/wiki/Federal_Deposit_Insurance_Corporation
5400,Federal Labor Relations Authority ,http://en.wikipedia.org/wiki/Federal_Labor_Relations_Authority
5600,Central Intelligence Agency ,http://en.wikipedia.org/wiki/Central_Intelligence_Agency
5700,"Department of the Air Force (Headquarters, USAF)",http://en.wikipedia.org/wiki/United_States_Department_of_the_Air_Force
5920,National Endowment for the Arts,https://en.wikipedia.org/wiki/National_Endowment_for_the_Arts
6300,National Labor Relations Board,http://en.wikipedia.org/wiki/National_Labor_Relations_Board
6800,Environmental Protection Agency,http://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency
6804,Office of the Inspector General ,
6900,Department of Transportation,http://en.wikipedia.org/wiki/United_States_Department_of_Transportation
6920,Federal Aviation Administration ,http://en.wikipedia.org/wiki/Federal_Aviation_Administration
6925,Federal Highway Administration ,http://en.wikipedia.org/wiki/Federal_Highway_Administration
6938,Maritime Administration ,http://en.wikipedia.org/wiki/United_States_Maritime_Administration
6940,National Highway Traffic Safety Administration ,http://en.wikipedia.org/wiki/National_Highway_Traffic_Safety_Administration
6955,Federal Transit Administration ,http://en.wikipedia.org/wiki/Federal_Transit_Administration
6957,Pipeline and Hazardous Materials Safety Administration ,http://en.wikipedia.org/wiki/Pipeline_and_Hazardous_Materials_Safety_Administration
7000,Department of Homeland Security,http://en.wikipedia.org/wiki/Department_of_Homeland_Security
7003,United States Citizenship and Immigration Services,http://en.wikipedia.org/wiki/United_States_Citizenship_and_Immigration_Services
7004,Office of the Inspector General ,http://en.wikipedia.org/wiki/Department_of_Homeland_Security_Office_of_Inspector_General
7008,U.S. Coast Guard ,http://en.wikipedia.org/wiki/United_States_Coast_Guard
7009,U.S. Secret Service ,http://en.wikipedia.org/wiki/United_States_Secret_Service
7012,U.S. Immigration and Customs Enforcement,http://en.wikipedia.org/wiki/U.S._Immigration_and_Customs_Enforcement
7014,U.S. Customs and Border Protection,http://en.wikipedia.org/wiki/U.S._Customs_and_Border_Protection
7015,Federal Law Enforcement Training Center ,http://en.wikipedia.org/wiki/Federal_Law_Enforcement_Training_Center
7022,Federal Emergency Management Agency ,http://en.wikipedia.org/wiki/Federal_Emergency_Management_Agency
7100,Overseas Private Investment Corporation ,http://en.wikipedia.org/wiki/Overseas_Private_Investment_Corporation
7200,U.S. Agency for International Development ,http://en.wikipedia.org/wiki/United_States_Agency_for_International_Development
7300,Small Business Administration ,http://en.wikipedia.org/wiki/Small_Business_Administration
7500,Department of Health and Human Services,http://en.wikipedia.org/wiki/Department_of_Health_and_Human_Services
7520,Public Health Service ,http://en.wikipedia.org/wiki/United_States_Public_Health_Service
7521,Office of the Assistant Secretary for Health & Surgeon General ,http://en.wikipedia.org/wiki/Surgeon_General_of_the_United_States
7522,Substance Abuse and Mental Health Services Administration ,http://en.wikipedia.org/wiki/Substance_Abuse_and_Mental_Health_Services_Administration
7523,Centers for Disease Control and Prevention ,http://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention
7524,Food and Drug Administration ,http://en.wikipedia.org/wiki/Food_and_Drug_Administration
7526,Health Resources and Services Administration ,http://en.wikipedia.org/wiki/Health_Resources_and_Services_Administration
7527,Indian Health Service ,http://en.wikipedia.org/wiki/Indian_Health_Service
7528,Agency for Healthcare Research and Quality ,http://en.wikipedia.org/wiki/Agency_for_Healthcare_Research_and_Quality
7529,National Institutes of Health ,http://en.wikipedia.org/wiki/National_Institutes_of_Health
7530,Centers for Medicare & Medicaid Services ,http://en.wikipedia.org/wiki/Centers_for_Medicare_and_Medicaid_Services
8000,National Aeronautics and Space Administration,http://en.wikipedia.org/wiki/National_Aeronautics_and_Space_Administration
8032,Lyndon B. Johnson Space Center ,http://en.wikipedia.org/wiki/Lyndon_B._Johnson_Space_Center
8300,Export-Import Bank of the U.S. ,http://en.wikipedia.org/wiki/Export-Import_Bank_of_the_United_States
8600,Department of Housing and Urban Development,http://en.wikipedia.org/wiki/Department_of_Housing_and_Urban_Development
8604,Office of Inspector General ,
8611,Assistant Secretary for Fair Housing and Equal Opportunity ,http://en.wikipedia.org/wiki/Office_of_Fair_Housing_and_Equal_Opportunity
8656,Office of Federal Housing Enterprise Oversight ,http://en.wikipedia.org/wiki/Office_of_Federal_Housing_Enterprise_Oversight
8681,Federal National Mortgage Association (Fannie Mae) ,http://en.wikipedia.org/wiki/Fannie_Mae
8683,Federal Home Loan Mortgage Corporation (Freddie Mac) ,http://en.wikipedia.org/wiki/Freddie_Mac
8800,National Archives and Records Administration,http://en.wikipedia.org/wiki/National_Archives_and_Records_Administration
8900,Department of Energy,http://en.wikipedia.org/wiki/United_States_Department_of_Energy
9000,Selective Service System ,http://en.wikipedia.org/wiki/Selective_Service_System
9100,Department of Education,http://en.wikipedia.org/wiki/United_States_Department_of_Education
9104,Office of Inspector General ,
9124,Office of Special Education and Rehabilitative Services ,http://en.wikipedia.org/wiki/Office_of_Special_Education_and_Rehabilitative_Services
9138,National Center for Education Statistics ,http://en.wikipedia.org/wiki/National_Center_for_Education_Statistics
9300,Federal Mediation and Conciliation Service ,http://en.wikipedia.org/wiki/Federal_Mediation_and_Conciliation_Service_(United_States)
9502,National Capital Planning Commission ,http://en.wikipedia.org/wiki/National_Capital_Planning_Commission
9504,Federal Mine Safety and Health Review Commission ,http://en.wikipedia.org/wiki/Federal_Mine_Safety_and_Health_Review_Commission
9506,Federal Election Commission ,http://en.wikipedia.org/wiki/Federal_Election_Commission
9509,National Council on Disability ,http://en.wikipedia.org/wiki/National_Council_on_Disability
9510,Harry S. Truman Scholarship Foundation ,http://en.wikipedia.org/wiki/Harry_S._Truman_Scholarship
9512,Japan-U.S. Friendship Commission ,
9513,Marine Mammal Commission ,http://en.wikipedia.org/wiki/Marine_Mammal_Commission
9514,Occupational Safety and Health Review Commission ,http://en.wikipedia.org/wiki/Occupational_Safety_and_Health_Review_Commission
9517,Commission on Civil Rights ,http://en.wikipedia.org/wiki/United_States_Commission_on_Civil_Rights
9523,Election Assistance Commission ,http://en.wikipedia.org/wiki/Election_Assistance_Commission
9530,Advisory Council On Historic Preservation ,http://en.wikipedia.org/wiki/Advisory_Council_on_Historic_Preservation
9531,United States Holocaust Memorial Museum ,http://en.wikipedia.org/wiki/United_States_Holocaust_Memorial_Museum
9532,Architectural and Transportation Barriers Compliance Board ,http://en.wikipedia.org/wiki/United_States_Access_Board
9537,Commission of Fine Arts ,http://en.wikipedia.org/wiki/United_States_Commission_of_Fine_Arts
9540,Federal Housing Finance Agency,http://en.wikipedia.org/wiki/Federal_Housing_Finance_Agency
9541,James Madison Memorial Fellowship Foundation ,http://en.wikipedia.org/wiki/James_Madison_Memorial_Fellowship_Foundation
9545,Morris K. Udall Scholar. & Excellence in Nat'l Enviro. Policy Foundation ,http://en.wikipedia.org/wiki/Morris_K._Udall_and_Stewart_L._Udall_Foundation
9554,Interagency Council on the Homeless ,http://en.wikipedia.org/wiki/United_States_Interagency_Council_on_Homelessness
9559,"Federal Reserve System, Board of Governors ",http://en.wikipedia.org/wiki/Federal_Reserve_Board_of_Governors
9560,Barry Goldwater Scholarship and Excellence in Education Foundation ,http://en.wikipedia.org/wiki/Barry_M._Goldwater_Scholarship
9562,Federal Financial Institutions Examination Council ,http://en.wikipedia.org/wiki/Federal_Financial_Institutions_Examination_Council
9590,Valles Caldera Trust ,
9591,Vietnam Education Foundation ,
9700,Department of Defense (except military departments) ,http://en.wikipedia.org/wiki/United_States_Department_of_Defense
9760,TRICARE Management Activity ,http://en.wikipedia.org/wiki/Tricare
9766,Department of Defense Counterintelligence Field Activity ,http://en.wikipedia.org/wiki/Counterintelligence_Field_Activity
0000,The Legislative Branch,http://en.wikipedia.org/wiki/United_States_Congress
0001,"Congress, generally, no additional specification available ",http://en.wikipedia.org/wiki/United_States_Congress
0010,"Senate, The ",http://en.wikipedia.org/wiki/United_States_Senate
0050,"House of Representatives, The ",http://en.wikipedia.org/wiki/United_States_House_of_Representatives
0099,"Joint House and Senate Entities (Capitol Police Board, Capitol Guide Service, Office of the Attending Physician, Joint Economic Committee, Joint Committee on Printing, and Joint Committee on Taxation)","http://en.wikipedia.org/wiki/Capitol_Police_Board, http://en.wikipedia.org/wiki/United_States_Capitol_Guide_Service, http://en.wikipedia.org/wiki/Attending_Physician_of_the_United_States_Congress"
0100,Architect of the Capitol ,http://en.wikipedia.org/wiki/Architect_of_the_Capitol
0300,Library of Congress ,http://en.wikipedia.org/wiki/Library_of_Congress
0500,Government Accountability Office,http://en.wikipedia.org/wiki/Government_Accountability_Office
0501,Comptroller General of the United States ,http://en.wikipedia.org/wiki/Comptroller_General_of_the_United_States
0800,Congressional Budget Office ,http://en.wikipedia.org/wiki/Congressional_Budget_Office
0901,Commission on Security and Cooperation in Europe ,http://en.wikipedia.org/wiki/Commission_on_Security_and_Cooperation_in_Europe
11DH,Inter-American Development Bank ,http://en.wikipedia.org/wiki/Inter-American_Development_Bank
11DR,International Bank for Reconstruction and Development (World Bank) ,http://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
12C2,Forest Service ,http://en.wikipedia.org/wiki/United_States_Forest_Service
12F2,Food and Nutrition Service ,http://en.wikipedia.org/wiki/Food_and_Nutrition_Service
1443,National Park Service,http://en.wikipedia.org/wiki/National_Park_Service
1524,Drug Enforcement Administration,http://en.wikipedia.org/wiki/Drug_Enforcement_Administration
19AG,Pan-American Institute of Geography and History ,http://en.wikipedia.org/wiki/Pan_American_Health_Organization
19BC,U.S. and Canada International Boundary Commission ,https://en.wikipedia.org/wiki/Canada%E2%80%93United_States_border#International_Boundary_Commission
19BJ,U.S. and Canada International Joint Commission ,http://en.wikipedia.org/wiki/International_Joint_Commission
19BM,U.S. and Mexico International Boundary and Water Commission ,http://en.wikipedia.org/wiki/International_Boundary_and_Water_Commission
19ME,International Organization for Migration ,http://en.wikipedia.org/wiki/International_Organization_for_Migration
19RN,North Atlantic Treaty Organization ,http://en.wikipedia.org/wiki/NATO
19UE,International Atomic Energy Agency ,http://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
19UF,Food and Agriculture Organization ,http://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
19UH,World Health Organization ,http://en.wikipedia.org/wiki/World_Health_Organization
19UL,International Labor Organization ,http://en.wikipedia.org/wiki/International_Labour_Organization
19UN,United Nations (and special programs) ,http://en.wikipedia.org/wiki/United_Nations
21CE,"U.S. Army Corps of Engineers, except civil program financing ",http://en.wikipedia.org/wiki/United_States_Army_Corps_of_Engineers
21SU,U.S. Army Southern Command ,http://en.wikipedia.org/wiki/United_States_Southern_Command
2300,U.S. Tax Court ,http://en.wikipedia.org/wiki/United_States_Tax_Court
574Z,Air National Guard ,http://en.wikipedia.org/wiki/Air_National_Guard
7013,Transportation Security Administration ,http://en.wikipedia.org/wiki/Transportation_Security_Administration
7635,Christopher Columbus Fellowship Foundation ,
8932,Office of Energy Information Administration ,http://en.wikipedia.org/wiki/Energy_Information_Administration
8990,Federal Energy Regulatory Commission ,http://en.wikipedia.org/wiki/Federal_Energy_Regulatory_Commission
89NA,Office of Nuclear Security/National Nuclear Security Administration ,http://en.wikipedia.org/wiki/National_Nuclear_Security_Administration
89NE,National Energy Technology Laboratory ,http://en.wikipedia.org/wiki/National_Energy_Technology_Laboratory
9518,Committee for Purchase from People who are Blind or Severely Disabled ,
9528,Office of the Federal Coordinator Alaska Natural Gas Transportation Projects,"http://en.wikipedia.org/wiki/Office_of_the_Federal_Coordinator,_Alaska_Natural_Gas_Transportation_Projects"
96CE,U.S. Army Corps of Engineers - civil program financing only ,http://en.wikipedia.org/wiki/United_States_Army_Corps_of_Engineers
97AS,Defense Logistics Agency ,http://en.wikipedia.org/wiki/Defense_Logistics_Agency
97EX,Office of the Inspector General ,
97F2,Department of Defense Education Activity ,http://en.wikipedia.org/wiki/Department_of_Defense_Education_Activity
